year,Q5_student or not,Q29_yearly compensation,Q11_coding years
2022,Yes,,3-5 years
2022,Yes,,3-5 years
2022,No,"50,000-59,999",5-10 years
2022,No,"30,000-39,999",< 1 years
2022,No,"125,000-149,999",5-10 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,No,,I have never written code
2022,Yes,,3-5 years
2022,Yes,,< 1 years
2022,No,,3-5 years
2022,No,,< 1 years
2022,No,"2,000-2,999",I have never written code
2022,No,"10,000-14,999",< 1 years
2022,No,"5,000-7,499",1-3 years
2022,No,"4,000-4,999",20+ years
2022,Yes,,3-5 years
2022,No,,I have never written code
2022,No,"10,000-14,999",< 1 years
2022,Yes,,5-10 years
2022,No,,1-3 years
2022,Yes,,< 1 years
2022,No,,1-3 years
2022,Yes,,< 1 years
2022,Yes,,5-10 years
2022,No,"60,000-69,999",10-20 years
2022,No,"5,000-7,499",I have never written code
2022,Yes,,I have never written code
2022,Yes,,5-10 years
2022,No,"125,000-149,999",5-10 years
2022,Yes,,< 1 years
2022,No,"30,000-39,999",1-3 years
2022,Yes,,I have never written code
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,No,"4,000-4,999",10-20 years
2022,Yes,,I have never written code
2022,No,"70,000-79,999",10-20 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,I have never written code
2022,No,,1-3 years
2022,Yes,,1-3 years
2022,No,,< 1 years
2022,No,"50,000-59,999",20+ years
2022,No,"15,000-19,999",5-10 years
2022,Yes,,20+ years
2022,No,"90,000-99,999",3-5 years
2022,No,"50,000-59,999",3-5 years
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,No,"30,000-39,999",< 1 years
2022,No,,3-5 years
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,No,"15,000-19,999",10-20 years
2022,Yes,,< 1 years
2022,Yes,,3-5 years
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,No,$0-999,20+ years
2022,No,,1-3 years
2022,Yes,,I have never written code
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,No,,10-20 years
2022,No,,< 1 years
2022,Yes,,1-3 years
2022,Yes,,3-5 years
2022,Yes,,10-20 years
2022,Yes,,3-5 years
2022,No,"80,000-89,999",20+ years
2022,No,"1,000-1,999",< 1 years
2022,Yes,,10-20 years
2022,Yes,,1-3 years
2022,No,"15,000-19,999",1-3 years
2022,No,"25,000-29,999",1-3 years
2022,Yes,,3-5 years
2022,No,"10,000-14,999",1-3 years
2022,No,"40,000-49,999",10-20 years
2022,Yes,,I have never written code
2022,No,"20,000-24,999",20+ years
2022,No,"60,000-69,999",20+ years
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,No,,5-10 years
2022,No,$0-999,5-10 years
2022,Yes,,1-3 years
2022,No,"30,000-39,999",20+ years
2022,Yes,,1-3 years
2022,No,"15,000-19,999",1-3 years
2022,No,,1-3 years
2022,No,$0-999,10-20 years
2022,No,,5-10 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,No,,< 1 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,No,"100,000-124,999",20+ years
2022,No,$0-999,I have never written code
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,No,"4,000-4,999",< 1 years
2022,Yes,,< 1 years
2022,No,"4,000-4,999",3-5 years
2022,Yes,,3-5 years
2022,No,"100,000-124,999",3-5 years
2022,No,,1-3 years
2022,Yes,,< 1 years
2022,Yes,,I have never written code
2022,No,,20+ years
2022,No,"5,000-7,499",10-20 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,No,,< 1 years
2022,No,"300,000-499,999",20+ years
2022,Yes,,I have never written code
2022,No,"100,000-124,999",5-10 years
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,No,,1-3 years
2022,Yes,,
2022,No,,< 1 years
2022,Yes,,1-3 years
2022,No,"2,000-2,999",5-10 years
2022,No,$0-999,1-3 years
2022,No,,5-10 years
2022,No,,3-5 years
2022,Yes,,1-3 years
2022,No,"7,500-9,999",3-5 years
2022,Yes,,< 1 years
2022,Yes,,20+ years
2022,No,$0-999,10-20 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,No,,10-20 years
2022,No,"7,500-9,999",3-5 years
2022,No,,
2022,Yes,,3-5 years
2022,Yes,,< 1 years
2022,No,,< 1 years
2022,No,"5,000-7,499",< 1 years
2022,No,,< 1 years
2022,Yes,,1-3 years
2022,No,"15,000-19,999",3-5 years
2022,No,"125,000-149,999",3-5 years
2022,No,"125,000-149,999",I have never written code
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,3-5 years
2022,No,"2,000-2,999",3-5 years
2022,No,"30,000-39,999",3-5 years
2022,Yes,,I have never written code
2022,Yes,,< 1 years
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,No,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,
2022,No,,3-5 years
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,Yes,,5-10 years
2022,No,,1-3 years
2022,No,,1-3 years
2022,No,"50,000-59,999",20+ years
2022,Yes,,3-5 years
2022,No,,10-20 years
2022,Yes,,1-3 years
2022,No,,3-5 years
2022,No,"300,000-499,999",20+ years
2022,Yes,,1-3 years
2022,No,"125,000-149,999",1-3 years
2022,Yes,,20+ years
2022,Yes,,3-5 years
2022,Yes,,1-3 years
2022,No,"5,000-7,499",3-5 years
2022,No,$0-999,I have never written code
2022,Yes,,3-5 years
2022,Yes,,1-3 years
2022,No,"200,000-249,999",20+ years
2022,No,"20,000-24,999",3-5 years
2022,No,$0-999,< 1 years
2022,No,"250,000-299,999",5-10 years
2022,No,"10,000-14,999",1-3 years
2022,Yes,,1-3 years
2022,Yes,,10-20 years
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,No,"50,000-59,999",5-10 years
2022,No,"20,000-24,999",3-5 years
2022,No,"100,000-124,999",5-10 years
2022,No,"15,000-19,999",5-10 years
2022,No,"3,000-3,999",< 1 years
2022,No,,20+ years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,No,"10,000-14,999",1-3 years
2022,Yes,,< 1 years
2022,Yes,,I have never written code
2022,No,$0-999,3-5 years
2022,Yes,,1-3 years
2022,No,,1-3 years
2022,No,"100,000-124,999",10-20 years
2022,No,,3-5 years
2022,No,"2,000-2,999",3-5 years
2022,Yes,,3-5 years
2022,No,,10-20 years
2022,Yes,,1-3 years
2022,No,$0-999,1-3 years
2022,Yes,,I have never written code
2022,Yes,,< 1 years
2022,Yes,,5-10 years
2022,No,"80,000-89,999",10-20 years
2022,No,"30,000-39,999",20+ years
2022,Yes,,10-20 years
2022,Yes,,< 1 years
2022,Yes,,3-5 years
2022,No,"15,000-19,999",5-10 years
2022,Yes,,10-20 years
2022,Yes,,< 1 years
2022,Yes,,I have never written code
2022,Yes,,1-3 years
2022,No,"5,000-7,499",3-5 years
2022,No,,< 1 years
2022,Yes,,3-5 years
2022,Yes,,
2022,Yes,,3-5 years
2022,Yes,,< 1 years
2022,Yes,,5-10 years
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,No,"30,000-39,999",1-3 years
2022,Yes,,
2022,No,"10,000-14,999",10-20 years
2022,Yes,,< 1 years
2022,No,,1-3 years
2022,Yes,,3-5 years
2022,No,"40,000-49,999",10-20 years
2022,No,$0-999,< 1 years
2022,Yes,,< 1 years
2022,Yes,,< 1 years
2022,No,,< 1 years
2022,No,"30,000-39,999",3-5 years
2022,Yes,,I have never written code
2022,Yes,,3-5 years
2022,No,,< 1 years
2022,No,,< 1 years
2022,No,"60,000-69,999",3-5 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,Yes,,< 1 years
2022,No,"5,000-7,499",3-5 years
2022,Yes,,3-5 years
2022,No,,1-3 years
2022,No,"1,000-1,999",1-3 years
2022,No,,< 1 years
2022,Yes,,< 1 years
2022,No,"20,000-24,999",I have never written code
2022,No,"1,000-1,999",1-3 years
2022,Yes,,I have never written code
2022,Yes,,1-3 years
2022,No,"20,000-24,999",I have never written code
2022,Yes,,5-10 years
2022,Yes,,< 1 years
2022,No,"5,000-7,499",I have never written code
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,No,"50,000-59,999",10-20 years
2022,No,,20+ years
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,No,"70,000-79,999",10-20 years
2022,No,"2,000-2,999",I have never written code
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,No,"1,000-1,999",1-3 years
2022,Yes,,< 1 years
2022,No,"20,000-24,999",20+ years
2022,No,"20,000-24,999",20+ years
2022,Yes,,< 1 years
2022,No,$0-999,< 1 years
2022,Yes,,< 1 years
2022,Yes,,20+ years
2022,No,,< 1 years
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,No,,20+ years
2022,Yes,,3-5 years
2022,No,,
2022,No,,< 1 years
2022,No,"4,000-4,999",1-3 years
2022,Yes,,< 1 years
2022,No,"200,000-249,999",5-10 years
2022,Yes,,< 1 years
2022,No,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,Yes,,< 1 years
2022,Yes,,< 1 years
2022,No,"10,000-14,999",10-20 years
2022,Yes,,5-10 years
2022,Yes,,1-3 years
2022,No,"1,000-1,999",1-3 years
2022,Yes,,I have never written code
2022,Yes,,< 1 years
2022,No,,3-5 years
2022,Yes,,1-3 years
2022,Yes,,3-5 years
2022,Yes,,< 1 years
2022,No,,< 1 years
2022,No,,< 1 years
2022,No,"10,000-14,999",< 1 years
2022,No,"40,000-49,999",3-5 years
2022,No,,1-3 years
2022,Yes,,3-5 years
2022,No,"20,000-24,999",3-5 years
2022,No,"100,000-124,999",5-10 years
2022,Yes,,20+ years
2022,No,"5,000-7,499",3-5 years
2022,Yes,,1-3 years
2022,Yes,,3-5 years
2022,Yes,,20+ years
2022,Yes,,< 1 years
2022,No,$0-999,5-10 years
2022,Yes,,3-5 years
2022,No,"25,000-29,999",1-3 years
2022,No,,I have never written code
2022,Yes,,< 1 years
2022,No,,3-5 years
2022,No,"50,000-59,999",5-10 years
2022,Yes,,10-20 years
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,No,,20+ years
2022,No,"3,000-3,999",1-3 years
2022,No,"125,000-149,999",20+ years
2022,No,"15,000-19,999",20+ years
2022,No,,10-20 years
2022,Yes,,3-5 years
2022,No,"15,000-19,999",3-5 years
2022,No,"100,000-124,999",3-5 years
2022,Yes,,< 1 years
2022,No,"1,000-1,999",< 1 years
2022,No,"40,000-49,999",3-5 years
2022,No,"125,000-149,999",3-5 years
2022,Yes,,3-5 years
2022,No,"1,000-1,999",< 1 years
2022,No,"15,000-19,999",1-3 years
2022,Yes,,< 1 years
2022,No,"100,000-124,999",5-10 years
2022,No,,< 1 years
2022,No,"10,000-14,999",10-20 years
2022,Yes,,1-3 years
2022,No,,I have never written code
2022,No,,I have never written code
2022,No,"60,000-69,999",20+ years
2022,Yes,,< 1 years
2022,No,"4,000-4,999",< 1 years
2022,No,,5-10 years
2022,Yes,,I have never written code
2022,No,"125,000-149,999",10-20 years
2022,Yes,,< 1 years
2022,Yes,,< 1 years
2022,No,"200,000-249,999",10-20 years
2022,No,,1-3 years
2022,No,$0-999,5-10 years
2022,Yes,,1-3 years
2022,Yes,,I have never written code
2022,Yes,,1-3 years
2022,No,"10,000-14,999",I have never written code
2022,No,$0-999,I have never written code
2022,No,,1-3 years
2022,No,"60,000-69,999",1-3 years
2022,No,"20,000-24,999",1-3 years
2022,Yes,,
2022,No,"5,000-7,499",5-10 years
2022,Yes,,I have never written code
2022,Yes,,I have never written code
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,No,,10-20 years
2022,Yes,,3-5 years
2022,No,"60,000-69,999",1-3 years
2022,No,"20,000-24,999",3-5 years
2022,Yes,,< 1 years
2022,Yes,,< 1 years
2022,No,,< 1 years
2022,Yes,,3-5 years
2022,Yes,,5-10 years
2022,Yes,,3-5 years
2022,Yes,,10-20 years
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,No,"7,500-9,999",< 1 years
2022,No,"2,000-2,999",1-3 years
2022,No,"40,000-49,999",I have never written code
2022,No,"15,000-19,999",< 1 years
2022,Yes,,< 1 years
2022,No,,I have never written code
2022,No,$0-999,3-5 years
2022,No,,3-5 years
2022,No,,< 1 years
2022,Yes,,< 1 years
2022,Yes,,< 1 years
2022,No,,1-3 years
2022,No,,20+ years
2022,No,"15,000-19,999",< 1 years
2022,No,,3-5 years
2022,Yes,,< 1 years
2022,No,"90,000-99,999",20+ years
2022,Yes,,1-3 years
2022,Yes,,3-5 years
2022,Yes,,3-5 years
2022,Yes,,< 1 years
2022,No,$0-999,5-10 years
2022,No,$0-999,3-5 years
2022,Yes,,5-10 years
2022,No,"15,000-19,999",5-10 years
2022,Yes,,< 1 years
2022,No,,< 1 years
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,No,"50,000-59,999",3-5 years
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,Yes,,< 1 years
2022,No,,< 1 years
2022,No,"70,000-79,999",5-10 years
2022,No,,10-20 years
2022,No,,5-10 years
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,No,"70,000-79,999",20+ years
2022,No,"125,000-149,999",5-10 years
2022,No,"10,000-14,999",1-3 years
2022,Yes,,1-3 years
2022,No,"25,000-29,999",5-10 years
2022,Yes,,< 1 years
2022,No,"25,000-29,999",10-20 years
2022,No,$0-999,5-10 years
2022,No,"7,500-9,999",3-5 years
2022,No,"10,000-14,999",1-3 years
2022,Yes,,< 1 years
2022,No,"70,000-79,999",5-10 years
2022,Yes,,1-3 years
2022,No,,< 1 years
2022,No,,3-5 years
2022,No,"2,000-2,999",3-5 years
2022,No,,3-5 years
2022,Yes,,< 1 years
2022,Yes,,< 1 years
2022,No,"25,000-29,999",5-10 years
2022,No,"7,500-9,999",1-3 years
2022,Yes,,< 1 years
2022,No,$0-999,I have never written code
2022,No,$0-999,< 1 years
2022,No,$0-999,1-3 years
2022,Yes,,< 1 years
2022,No,"40,000-49,999",20+ years
2022,No,"100,000-124,999",1-3 years
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,Yes,,I have never written code
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,No,,10-20 years
2022,No,,
2022,No,"10,000-14,999",I have never written code
2022,No,"70,000-79,999",5-10 years
2022,No,"20,000-24,999",1-3 years
2022,Yes,,1-3 years
2022,Yes,,I have never written code
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,No,"1,000-1,999",< 1 years
2022,Yes,,3-5 years
2022,No,"40,000-49,999",1-3 years
2022,Yes,,1-3 years
2022,No,,< 1 years
2022,No,,10-20 years
2022,Yes,,3-5 years
2022,No,"60,000-69,999",20+ years
2022,Yes,,10-20 years
2022,No,,I have never written code
2022,Yes,,I have never written code
2022,No,,1-3 years
2022,Yes,,1-3 years
2022,No,"100,000-124,999",5-10 years
2022,No,"20,000-24,999",< 1 years
2022,No,,5-10 years
2022,No,,3-5 years
2022,Yes,,5-10 years
2022,No,,5-10 years
2022,No,,< 1 years
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,No,"40,000-49,999",20+ years
2022,No,"200,000-249,999",20+ years
2022,Yes,,< 1 years
2022,No,,1-3 years
2022,No,"1,000-1,999",5-10 years
2022,No,,< 1 years
2022,Yes,,< 1 years
2022,Yes,,< 1 years
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,Yes,,< 1 years
2022,No,,< 1 years
2022,No,"15,000-19,999",5-10 years
2022,Yes,,3-5 years
2022,Yes,,< 1 years
2022,No,"150,000-199,999",20+ years
2022,Yes,,1-3 years
2022,Yes,,I have never written code
2022,Yes,,1-3 years
2022,No,"150,000-199,999",5-10 years
2022,Yes,,3-5 years
2022,No,"30,000-39,999",5-10 years
2022,No,$0-999,20+ years
2022,No,"2,000-2,999",5-10 years
2022,No,"100,000-124,999",20+ years
2022,No,,1-3 years
2022,No,"100,000-124,999",20+ years
2022,No,"100,000-124,999",3-5 years
2022,No,"40,000-49,999",1-3 years
2022,No,"100,000-124,999",5-10 years
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,No,"20,000-24,999",3-5 years
2022,No,,5-10 years
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,No,"70,000-79,999",10-20 years
2022,No,,
2022,No,"70,000-79,999",20+ years
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,No,,I have never written code
2022,Yes,,3-5 years
2022,No,"10,000-14,999",5-10 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,No,,1-3 years
2022,Yes,,< 1 years
2022,Yes,,< 1 years
2022,Yes,,20+ years
2022,No,"25,000-29,999",3-5 years
2022,No,"100,000-124,999",< 1 years
2022,Yes,,1-3 years
2022,Yes,,I have never written code
2022,Yes,,1-3 years
2022,No,"90,000-99,999",10-20 years
2022,Yes,,I have never written code
2022,No,"25,000-29,999",3-5 years
2022,No,,< 1 years
2022,No,"10,000-14,999",20+ years
2022,No,,3-5 years
2022,No,"1,000-1,999",5-10 years
2022,No,"50,000-59,999",10-20 years
2022,No,"15,000-19,999",20+ years
2022,No,"40,000-49,999",3-5 years
2022,Yes,,< 1 years
2022,No,"3,000-3,999",3-5 years
2022,Yes,,< 1 years
2022,Yes,,< 1 years
2022,No,,20+ years
2022,Yes,,< 1 years
2022,No,"15,000-19,999",5-10 years
2022,Yes,,20+ years
2022,No,,1-3 years
2022,No,,5-10 years
2022,Yes,,3-5 years
2022,No,"30,000-39,999",1-3 years
2022,Yes,,3-5 years
2022,No,"100,000-124,999",10-20 years
2022,No,,5-10 years
2022,No,"7,500-9,999",1-3 years
2022,No,"1,000-1,999",3-5 years
2022,No,"30,000-39,999",1-3 years
2022,Yes,,
2022,Yes,,1-3 years
2022,Yes,,I have never written code
2022,Yes,,< 1 years
2022,No,"1,000-1,999",3-5 years
2022,Yes,,5-10 years
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,No,"1,000-1,999",5-10 years
2022,No,"100,000-124,999",20+ years
2022,Yes,,< 1 years
2022,Yes,,
2022,Yes,,< 1 years
2022,Yes,,< 1 years
2022,Yes,,< 1 years
2022,No,"40,000-49,999",< 1 years
2022,No,,< 1 years
2022,No,"70,000-79,999",3-5 years
2022,No,,10-20 years
2022,Yes,,3-5 years
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,No,$0-999,I have never written code
2022,No,$0-999,< 1 years
2022,No,"50,000-59,999",5-10 years
2022,Yes,,1-3 years
2022,No,"100,000-124,999",20+ years
2022,No,"5,000-7,499",< 1 years
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,No,,< 1 years
2022,Yes,,< 1 years
2022,Yes,,< 1 years
2022,No,,3-5 years
2022,No,"3,000-3,999",1-3 years
2022,No,,I have never written code
2022,Yes,,
2022,Yes,,
2022,No,"100,000-124,999",5-10 years
2022,No,$0-999,< 1 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,No,"50,000-59,999",< 1 years
2022,Yes,,3-5 years
2022,Yes,,< 1 years
2022,No,"10,000-14,999",I have never written code
2022,Yes,,< 1 years
2022,No,,
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,No,"2,000-2,999",I have never written code
2022,Yes,,1-3 years
2022,Yes,,5-10 years
2022,No,"70,000-79,999",20+ years
2022,No,"15,000-19,999",5-10 years
2022,Yes,,1-3 years
2022,No,"2,000-2,999",10-20 years
2022,No,"150,000-199,999",5-10 years
2022,Yes,,1-3 years
2022,No,"60,000-69,999",20+ years
2022,Yes,,< 1 years
2022,Yes,,< 1 years
2022,Yes,,3-5 years
2022,No,"7,500-9,999",I have never written code
2022,No,,1-3 years
2022,No,"4,000-4,999",3-5 years
2022,No,"30,000-39,999",5-10 years
2022,Yes,,3-5 years
2022,No,"5,000-7,499",< 1 years
2022,No,"80,000-89,999",5-10 years
2022,No,$0-999,1-3 years
2022,No,"125,000-149,999",10-20 years
2022,Yes,,5-10 years
2022,Yes,,I have never written code
2022,Yes,,3-5 years
2022,Yes,,1-3 years
2022,No,,20+ years
2022,Yes,,< 1 years
2022,Yes,,5-10 years
2022,No,"25,000-29,999",5-10 years
2022,Yes,,5-10 years
2022,No,,< 1 years
2022,Yes,,1-3 years
2022,No,"200,000-249,999",10-20 years
2022,Yes,,1-3 years
2022,No,"7,500-9,999",3-5 years
2022,Yes,,I have never written code
2022,Yes,,3-5 years
2022,Yes,,1-3 years
2022,No,"1,000-1,999",20+ years
2022,Yes,,1-3 years
2022,No,"7,500-9,999",< 1 years
2022,Yes,,
2022,No,,1-3 years
2022,No,"40,000-49,999",< 1 years
2022,No,"80,000-89,999",10-20 years
2022,Yes,,< 1 years
2022,No,"5,000-7,499",5-10 years
2022,No,,3-5 years
2022,Yes,,< 1 years
2022,Yes,,< 1 years
2022,No,$0-999,10-20 years
2022,No,,1-3 years
2022,Yes,,I have never written code
2022,No,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,No,"125,000-149,999",20+ years
2022,Yes,,I have never written code
2022,No,"30,000-39,999",3-5 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,I have never written code
2022,Yes,,< 1 years
2022,No,"2,000-2,999",1-3 years
2022,Yes,,I have never written code
2022,Yes,,5-10 years
2022,Yes,,1-3 years
2022,No,"200,000-249,999",20+ years
2022,No,,3-5 years
2022,No,"30,000-39,999",10-20 years
2022,Yes,,1-3 years
2022,Yes,,3-5 years
2022,Yes,,10-20 years
2022,No,$0-999,5-10 years
2022,No,"125,000-149,999",20+ years
2022,Yes,,1-3 years
2022,No,"1,000-1,999",5-10 years
2022,No,$0-999,1-3 years
2022,No,,< 1 years
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,Yes,,< 1 years
2022,No,$0-999,3-5 years
2022,Yes,,1-3 years
2022,No,,20+ years
2022,Yes,,5-10 years
2022,No,"20,000-24,999",3-5 years
2022,Yes,,1-3 years
2022,No,"20,000-24,999",< 1 years
2022,No,"250,000-299,999",3-5 years
2022,No,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,No,"10,000-14,999",1-3 years
2022,No,"90,000-99,999",5-10 years
2022,No,"10,000-14,999",1-3 years
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,No,"5,000-7,499",10-20 years
2022,No,,3-5 years
2022,Yes,,3-5 years
2022,Yes,,< 1 years
2022,No,"3,000-3,999",20+ years
2022,Yes,,5-10 years
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,No,"40,000-49,999",1-3 years
2022,No,"50,000-59,999",5-10 years
2022,No,"4,000-4,999",1-3 years
2022,No,"150,000-199,999",5-10 years
2022,Yes,,I have never written code
2022,No,"1,000-1,999",< 1 years
2022,Yes,,5-10 years
2022,Yes,,1-3 years
2022,Yes,,5-10 years
2022,No,"7,500-9,999",I have never written code
2022,Yes,,3-5 years
2022,Yes,,3-5 years
2022,No,,< 1 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,I have never written code
2022,No,"10,000-14,999",3-5 years
2022,Yes,,3-5 years
2022,Yes,,< 1 years
2022,No,"15,000-19,999",3-5 years
2022,No,"40,000-49,999",3-5 years
2022,No,"90,000-99,999",1-3 years
2022,No,"200,000-249,999",10-20 years
2022,Yes,,< 1 years
2022,Yes,,
2022,Yes,,1-3 years
2022,No,$0-999,1-3 years
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,Yes,,< 1 years
2022,No,$0-999,I have never written code
2022,Yes,,< 1 years
2022,No,$0-999,< 1 years
2022,No,"25,000-29,999",10-20 years
2022,Yes,,< 1 years
2022,No,,3-5 years
2022,No,"10,000-14,999",10-20 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,No,,I have never written code
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,No,"2,000-2,999",3-5 years
2022,No,"300,000-499,999",1-3 years
2022,Yes,,1-3 years
2022,Yes,,3-5 years
2022,No,,20+ years
2022,No,"40,000-49,999",20+ years
2022,Yes,,< 1 years
2022,No,,3-5 years
2022,Yes,,< 1 years
2022,No,"7,500-9,999",1-3 years
2022,No,"3,000-3,999",< 1 years
2022,No,"50,000-59,999",10-20 years
2022,No,"7,500-9,999",1-3 years
2022,Yes,,< 1 years
2022,No,,I have never written code
2022,No,"70,000-79,999",10-20 years
2022,Yes,,1-3 years
2022,Yes,,3-5 years
2022,No,"80,000-89,999",1-3 years
2022,No,"125,000-149,999",20+ years
2022,Yes,,< 1 years
2022,No,,< 1 years
2022,Yes,,5-10 years
2022,Yes,,< 1 years
2022,No,"60,000-69,999",10-20 years
2022,No,"90,000-99,999",1-3 years
2022,Yes,,5-10 years
2022,No,"100,000-124,999",3-5 years
2022,Yes,,3-5 years
2022,Yes,,< 1 years
2022,Yes,,< 1 years
2022,Yes,,1-3 years
2022,No,,< 1 years
2022,Yes,,1-3 years
2022,No,,5-10 years
2022,Yes,,1-3 years
2022,No,"7,500-9,999",I have never written code
2022,Yes,,< 1 years
2022,No,"15,000-19,999",10-20 years
2022,Yes,,1-3 years
2022,Yes,,3-5 years
2022,No,,< 1 years
2022,No,"1,000-1,999",1-3 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,No,"5,000-7,499",1-3 years
2022,Yes,,< 1 years
2022,No,"30,000-39,999",1-3 years
2022,Yes,,1-3 years
2022,Yes,,5-10 years
2022,Yes,,< 1 years
2022,No,"150,000-199,999",20+ years
2022,Yes,,3-5 years
2022,No,"7,500-9,999",1-3 years
2022,Yes,,1-3 years
2022,No,"3,000-3,999",5-10 years
2022,No,,3-5 years
2022,No,"100,000-124,999",1-3 years
2022,No,"30,000-39,999",10-20 years
2022,Yes,,< 1 years
2022,No,,1-3 years
2022,No,,5-10 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,No,"1,000-1,999",I have never written code
2022,Yes,,< 1 years
2022,No,"50,000-59,999",3-5 years
2022,Yes,,< 1 years
2022,Yes,,I have never written code
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,Yes,,1-3 years
2022,No,"15,000-19,999",1-3 years
2022,No,"15,000-19,999",3-5 years
2022,Yes,,I have never written code
2022,Yes,,3-5 years
2022,Yes,,< 1 years
2022,No,"100,000-124,999",20+ years
2022,Yes,,1-3 years
2022,No,,
2022,No,"250,000-299,999",3-5 years
2022,Yes,,< 1 years
2022,No,"20,000-24,999",3-5 years
2022,Yes,,20+ years
2022,No,"50,000-59,999",10-20 years
2022,Yes,,1-3 years
2022,No,"10,000-14,999",3-5 years
2022,No,$0-999,10-20 years
2022,No,,1-3 years
2022,Yes,,< 1 years
2022,Yes,,
2022,No,"300,000-499,999",1-3 years
2022,No,,
2022,No,"10,000-14,999",5-10 years
2022,Yes,,1-3 years
2022,Yes,,< 1 years
2022,Yes,,1-3 years
